"Remedy.Subject.Code.Translation","Unique Complaint Count","Percentage of All Unique Complaints","Closed Granted/Accepted Count","Closed Granted/Accepted Percentage","Closed Denied/Closed Other Count","Percentage Closed Denied/Closed Other","Rejected Only Count","Percentage Rejected Only"
"MENTAL HEALTH CARE: MENTAL HEALTH TREATMENT - DELAY OR ACCESS TO",27,0.1,2,7.41,16,59.26,9,33.33
"RECORDS MANAGEMENT: DETAINERS, PRODUCTION ON WRIT",27,0.1,0,0,20,74.07,7,25.93
"RECORDS MANAGEMENT: RECORD MAINTENANCE",27,0.1,5,18.52,10,37.04,12,44.44
"FOOD: MEDICAL DIETS - DELIVERY/PREPARATION OF",25,0.1,2,8,16,64,7,28
"MEDICAL-EXC. FORCED TREATMENT: MEDICAL MATTERS - COPAY ISSUES",25,0.1,5,20,14,56,6,24
"RECORDS MANAGEMENT: PRESENTENCE INVESTIGATION REPORT (ERRORS)",24,0.09,3,12.5,19,79.17,2,8.33
"FOOD: KITCHEN OR DINING HALL - CONDITIONS",23,0.09,3,13.04,16,69.57,4,17.39
"OPERATIONS, INSTITUTION: PERSONAL CLOTHING OR LAUNDERING",23,0.09,1,4.35,15,65.22,7,30.43
"OPERATIONS, INSTITUTION: SMOKE, SMOKING OR TOBACCO RELATED CONCERNS",23,0.09,1,4.35,16,69.57,6,26.09
"UDC/RRC ACTIONS: CONTRACT COMM. CORR. CTR. DISCIPLINE - MINOR SANCTIONS",23,0.09,2,8.7,10,43.48,11,47.83
"FOOD: MEALS: CEREMONIAL - DELIVERY/PREPARATION OF",22,0.08,1,4.55,12,54.55,9,40.91
"WORK ASSIGNMENTS: UNICOR - ASSIGNMENT, WORKING CONDITIONS",22,0.08,1,4.55,18,81.82,3,13.64
"OPERATIONS, INSTITUTION: PHOTOCOPY REQUEST",20,0.08,4,20,12,60,4,20
"CLASSIFICATION MATTERS: RESTORATION OF STATUTORY GOOD TIME",19,0.07,3,15.79,11,57.89,5,26.32
"SEARCHES AND USE OF RESTRAINTS: VISUAL (STRIP) SEARCHES",19,0.07,0,0,14,73.68,5,26.32
"COMMUNITY/PRE-RELEASE PROGRAMS: FURLOUGHS - SOCIAL",18,0.07,1,5.56,12,66.67,5,27.78
"EDUCATION, RECREATION, LEISURE: LIBRARY SERVICES (EXCEPT LAW LIBRARY)",18,0.07,2,11.11,12,66.67,4,22.22
"LEGAL MATTERS:  LEGAL VISITS",18,0.07,3,16.67,9,50,6,33.33
"MENTAL HEALTH CARE: PSYCHOTROPIC OR OTHER MENTAL HEALTH MEDICATIONS",17,0.07,2,11.76,7,41.18,8,47.06
"OTHER STATUTORILY-MANDATED PROCEDURES: FOIA MATTERS",15,0.06,1,6.67,7,46.67,7,46.67
"SEARCHES AND USE OF RESTRAINTS: PAT SEARCHES",15,0.06,1,6.67,10,66.67,4,26.67
"DISABILITY-PHYSICAL OR MENTAL: ACCESS TO FACILITIES (PHYSICAL BARRIERS)",14,0.05,0,0,7,50,7,50
"FOOD: MEALS: FASTS - DELIVERY/PREPARATION OF",14,0.05,0,0,8,57.14,6,42.86
"JAIL TIME CREDIT: CREDIT FOR RDAP - EARLY RELEASE ELIGIBILITY",14,0.05,1,7.14,8,57.14,5,35.71
"STAFF/OTHERS - COMPLAINTS: COMPLAINT AGAINST NON-STAFF PERSON",14,0.05,0,0,4,28.57,10,71.43
"RECORDS MANAGEMENT: PAROLE SCHEDULING, DOCKETING",13,0.05,1,7.69,9,69.23,3,23.08
"SENTENCE COMPUTATION: CREDIT FOR TIME ON ANOTHER SENTENCE - SAME CRIMINAL ACT",12,0.05,2,16.67,8,66.67,2,16.67
"SPECIAL HOUSING UNITS: ADMINISTRATIVE DETENTION - REQUEST PLACEMENT FOR PROTECTION",12,0.05,0,0,7,58.33,5,41.67
"SPECIAL HOUSING UNITS: EXCESSIVE USE OF FORCE - FORCED CELL MOVES",12,0.05,1,8.33,6,50,5,41.67
"MAIL COMMUNICATION: ENCLOSURES - APPROVAL, REJECTION, CONFISCATION, ETC.",11,0.04,0,0,8,72.73,3,27.27
"PREA:SEXUAL ABUSE BY STAFF",11,0.04,2,18.18,8,72.73,1,9.09
"SEARCHES AND USE OF RESTRAINTS: OTHER USE OF RESTRAINTS",11,0.04,1,9.09,5,45.45,5,45.45
"VISITING: VISIT RELATED SEARCHES",11,0.04,1,9.09,4,36.36,6,54.55
"SENTENCE COMPUTATION: COMPUTATION OF VIOLATOR TERM",10,0.04,0,0,7,70,3,30
"SENTENCE COMPUTATION: GOOD TIME EARNED ON PREVIOUS COMMITMENT",10,0.04,0,0,9,90,1,10
"MAIL COMMUNICATION: RESTRICTED MAIL",9,0.03,0,0,7,77.78,2,22.22
"CLASSIFICATION MATTERS: INITIAL DESIGNATION DECISION",8,0.03,2,25,4,50,2,25
"COMMUNICATION-OTHER THAN MAIL: MARRIAGE",8,0.03,0,0,5,62.5,3,37.5
"COMMUNICATION-OTHER THAN MAIL: PHONE CALLS - 300 MIN. LIMITATION CONCERNS",8,0.03,1,12.5,5,62.5,2,25
"COMMUNITY/PRE-RELEASE PROGRAMS: CORRECTIONS COMPONENT ISSUES",8,0.03,0,0,3,37.5,5,62.5
"COMMUNITY/PRE-RELEASE PROGRAMS: ESCORTED TRIPS",8,0.03,2,25,5,62.5,1,12.5
"SEARCHES AND USE OF RESTRAINTS: OTHER SEARCHES",8,0.03,0,0,5,62.5,3,37.5
"SENTENCE COMPUTATION: ORDER OF SERVICE OF SENTENCES",8,0.03,0,0,5,62.5,3,37.5
"COMMUNITY/PRE-RELEASE PROGRAMS: WORK/STUDY RELEASE",7,0.03,2,28.57,2,28.57,3,42.86
"CONTROL UNIT: CONTROL UNIT - OTHER",7,0.03,1,14.29,5,71.43,1,14.29
"EDUCATION, RECREATION, LEISURE: VOCATIONAL TRAINING",7,0.03,1,14.29,5,71.43,1,14.29
"MEDICAL-EXC. FORCED TREATMENT: TRANSGENDER CONCERNS/ISSUES",7,0.03,0,0,6,85.71,1,14.29
"CLASSIFICATION MATTERS: CENTRAL INMATE MONITORING - EXCEPT SEPARATION",6,0.02,0,0,3,50,3,50
"PREA: SEXUAL ABUSE BY INMATE",6,0.02,0,0,3,50,3,50
"CLASSIFICATION MATTERS: PROGRESS REPORTS",5,0.02,1,20,3,60,1,20
"COMMUNICATION-OTHER THAN MAIL: NEWS MEDIA CONTACTS",5,0.02,0,0,3,60,2,40
"MEDICAL-EXC. FORCED TREATMENT: OTHER WOMEN'S MEDICAL ISSUES",5,0.02,1,20,3,60,1,20
"WORK ASSIGNMENTS: UNICOR - WAITING LIST",5,0.02,1,20,4,80,0,0
"COMMUNITY/PRE-RELEASE PROGRAMS: ELDERLY OFFENDER HOME DETENTION PROGRAM",4,0.02,0,0,0,0,4,100
"CONTROL UNIT: CONTROL UNIT PLACEMENT",4,0.02,0,0,2,50,2,50
"EDUCATION, RECREATION, LEISURE: POST-SECONDARY EDUCATION (PSE)",4,0.02,0,0,3,75,1,25
"JAIL TIME CREDIT: CREDIT FOR TIME IN RESIDENTIAL REENTRY CENTER",4,0.02,0,0,3,75,1,25
"JAIL TIME CREDIT: CREDIT FOR TIME ON HOME CONFINEMENT",4,0.02,1,25,2,50,1,25
"LEGAL MATTERS: LEGAL ASSISTANCE PROGRAMS",4,0.02,0,0,4,100,0,0
"26M",3,0.01,0,0,2,66.67,1,33.33
"CLASSIFICATION MATTERS: WALSH ACT CLASSIFICATION",3,0.01,0,0,3,100,0,0
"LEGAL MATTERS: LAW LIBRARY - STATE LEGAL REFERENCE MATERIAL",3,0.01,0,0,2,66.67,1,33.33
"MEDICAL TREATMENT - FORCED: HUNGER STRIKES AND FORCED FEEDING",3,0.01,0,0,0,0,3,100
"MEDICAL TREATMENT - FORCED: OTHER FORCED MEDICAL TREATMENT",3,0.01,0,0,2,66.67,1,33.33
"PROGRAMS, INSTITUTION: COMMUNICATION MANAGEMENT UNIT",3,0.01,0,0,1,33.33,2,66.67
"STAFF/OTHERS - COMPLAINTS: SEXUAL ASSAULT/ABUSE BY STAFF",3,0.01,0,0,1,33.33,2,66.67
"DHO/CDC/CONT. HOUSING APPEALS: CONTROLLED HOUSING STATUS APPEAL",2,0.01,0,0,2,100,0,0
"MEDICAL-EXC. FORCED TREATMENT: PREGNANCY, ABORTION, CHILDBIRTH",2,0.01,0,0,0,0,2,100
"PROGRAMS, INSTITUTION: RESEARCH/GENETIC TESTING PROGRAMS",2,0.01,0,0,1,50,1,50
"VISITING: ION SPECTROMETRY PROGRAM",2,0.01,0,0,2,100,0,0
"38D",1,0,1,100,0,0,0,0
"DISABILITY-PHYSICAL OR MENTAL: REHABILITATION ACT ACCOMMODATION ISSUES (E.G. DEAF, BLIND)",1,0,0,0,1,100,0,0
"EDUCATION, RECREATION, LEISURE: ADULT BASIC EDUCATION (ABE)",1,0,0,0,1,100,0,0
"JAIL TIME CREDIT: CREDIT FOR TIME SPENT ON BOND",1,0,0,0,0,0,1,100
"MEDICAL TREATMENT - FORCED: FORCED PSYCHOTROPIC MEDICATION",1,0,0,0,0,0,1,100
"OTHER STATUTORILY-MANDATED PROCEDURES: PRIVACY - PROCESS AND PROCEDURAL",1,0,0,0,1,100,0,0
"OTHER STATUTORILY-MANDATED PROCEDURES: PRIVACY - REDRESS",1,0,0,0,1,100,0,0
"PROGRAMS, INSTITUTION: SPECIAL MANAGEMENT UNIT",1,0,0,0,0,0,1,100
"RECORDS MANAGEMENT: PRESENTENCE INVESTIGATION REPORT (ACCESS TO)",1,0,1,100,0,0,0,0
"SEARCHES AND USE OF RESTRAINTS: RESTRAINED TO BED",1,0,0,0,1,100,0,0
